Q_ID,FACTOR,SUPER FACTOR,ITEM HEBREW,ITEM ENGLISH,REV,RANK / SCALE,TYPE, FIT HEBREW,FIT ENGLISH,ANSWER HEBREW,ANSWER ENGLISH,ANS_OPT_HEBREW,ANS_OPT_ENGLISH,AYALON,NEW PILOT,DEMO,Ayalon pre-callibration,Nike,INCLUDED
agreeableness_1,agreeableness,emotional intelligence,אני מזדהה עם רגשות של אחרים,I Sympathize with others' feelings.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,Yes,"AYALON,EH,NIKE"
agreeableness_2r,agreeableness,emotional intelligence,אני לא מתעניין/ת בבעיות של אנשים אחרים,I am not interested in other people's problems.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,Yes,"AYALON,EH,NIKE"
agreeableness_3,agreeableness,emotional intelligence,אני מרגיש/ה את הרגשות של אנשים אחרים,I feel others' emotions.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
agreeableness_4r,agreeableness,emotional intelligence,אנשים אחרים לא באמת מעניינים אותי,I am not really interested in others.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,Yes,"AYALON,EH,NIKE"
agreeableness_5r,agreeableness,emotional intelligence,אני לא נפתח/ת לאחרים בקלות,I am hard to get to know.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,Yes,"AYALON,EH,NIKE"
agreeableness_6,agreeableness,emotional intelligence,אני מאמין/ה שלאחרים יש כוונות טובות,I believe that others have good intentions.,,,,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
agreeableness_7,agreeableness,emotional intelligence,אני נוטה להאמין למה שאנשים אומרים,I trust what people say.,,,,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
agreeableness_8,agreeableness,emotional intelligence,קל לספק אותי,I am easy to satisfy.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,Yes,"AYALON,EH,NIKE"
agreeableness_9r,agreeableness,emotional intelligence,"אני ""חריף/ה"" בדיבור שלי",I have a sharp tongue.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
conscientiousness_1,conscientiousness,efficiency,אני מסיים/ת מטלות באופן מיידי,I get chores done right away.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
conscientiousness_2r,conscientiousness,efficiency,לעתים קרובות אני שוכח/ת לשים דברים חזרה במקומם,I often forget to put things back in their proper place.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
conscientiousness_3,conscientiousness,efficiency,אני אוהב/ת סדר,I Like order.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
conscientiousness_4r,conscientiousness,efficiency,אני מבולגן/ת,I Make a mess of things.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
conscientiousness_5,conscientiousness,efficiency,אני פועל/ת בצורה מתוכננת,I do things according to a plan.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
conscientiousness_6,conscientiousness,efficiency,אני  אוהב/ת לתכנן קדימה,I like to plan ahead.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
conscientiousness_7r,conscientiousness,efficiency,אני לוקח/ת דברים בקלות,I take tasks too lightly.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
conscientiousness_8r,conscientiousness,efficiency,אני נוטה לדחות דברים שלא בא לי לעשות,I put off unpleasant tasks.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
conscientiousness_9,conscientiousness,efficiency,"אני אוהב/ת לעבוד עם לו""ז מתוכנן",I follow a schedule.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
